ACBK1g00001,Cen-16-000006,
ACBK1g00002,Cen-16-000005,
ACBK1g00003,.,Cen-15-004045
ACBK1g00004,.,.
ACBK1g00005,Cen-16-000004,.
ACBK1g00006,Cen-16-000003,.
ACBK1g00007,Cen-16-000002,.
ACBK1g00008,Cen-16-000001,.
ACBK1g00009,Cen-16-000008,Cen-15-004043
ACBK1g00010,Cen-16-000009,Cen-15-004042
ACBK1g00011,.,Cen-15-004041
ACBK1g00012,Cen-16-000010,Cen-15-004040
ACBK1g00013,Cen-16-000011,Cen-15-004039
ACBK1g00014,.,.
ACBK1g00015,Cen-16-000012,Cen-15-004038
ACBK1g00016,.,Cen-15-004029
ACBK1g00017,Cen-16-000014,Cen-15-004028
ACBK1g00018,Cen-16-000016,Cen-15-004027
ACBK1g00019,Cen-16-000017,Cen-15-004026
ACBK1g00020,Cen-16-000018,Cen-15-004025
ACBK1g00021,Cen-16-000019,Cen-15-004023
ACBK1g00022,Cen-16-000020,Cen-15-004020
ACBK1g00023,.,Cen-15-004018
ACBK1g00024,.,.
ACBK1g00025,.,.
ACBK1g00026,.,Cen-15-004017
ACBK1g00027,Cen-16-000025,.
ACBK1g00028,Cen-16-000026,Cen-15-004015
ACBK1g00029,Cen-16-000029,Cen-15-004013
ACBK1g00030,Cen-16-000030,Cen-15-004012
ACBK1g00031,Cen-16-000032,Cen-15-004010
ACBK1g00032,.,Cen-15-004009
ACBK1g00033,Cen-16-000034,Cen-15-004008
ACBK1g00034,Cen-16-000035,Cen-15-004007
ACBK1g00035,.,Cen-15-004006
ACBK1g00036,Cen-16-000036,Cen-15-004005
ACBK1g00037,.,.
ACBK1g00038,.,.
ACBK1g00039,.,.
ACBK1g00040,Cen-16-000041,Cen-15-004004
ACBK1g00041,Cen-16-000042,Cen-15-004003
ACBK1g00042,Cen-16-000043,Cen-15-004002
ACBK1g00043,Cen-16-000044,Cen-15-004001
ACBK1g00044,.,.
ACBK1g00045,Cen-16-000045,Cen-15-004000
ACBK1g00046,Cen-16-000048,Cen-15-003998
ACBK1g00047,Cen-16-000049,Cen-15-003997
ACBK1g00048,Cen-16-000050,Cen-15-004031
ACBK1g00049,Cen-16-000051,Cen-15-004032
ACBK1g00050,Cen-16-000052,Cen-15-004033
ACBK1g00051,Cen-16-000053,.
ACBK1g00052,Cen-16-000054,Cen-15-004034
ACBK1g00053,Cen-16-000055,Cen-15-004035
ACBK1g00054,Cen-16-000056,Cen-15-004036
ACBK1g00055,.,.
ACBK1g00056,Cen-16-000057,Cen-15-004037
ACBK1g00057,Cen-16-000058,.
ACBK1g00058,Cen-16-000059,Cen-15-003996
ACBK1g00059,.,.
ACBK1g00060,.,.
ACBK1g00061,.,.
ACBK1g00062,.,.
ACBK1g00063,Cen-16-000061,Cen-15-003992
ACBK1g00064,Cen-16-000067,Cen-15-003990
ACBK1g00065,Cen-16-000068,Cen-15-003988
ACBK1g00066,Cen-16-000069,Cen-15-003987
ACBK1g00067,Cen-16-000070,Cen-15-003986
ACBK1g00068,.,.
ACBK1g00069,Cen-16-000073,Cen-15-003985
ACBK1g00070,Cen-16-000074,Cen-15-003984
ACBK1g00071,Cen-16-000075,Cen-15-003983
