ACBK1g00001,
ACBK1g00002,Chi-1-000005
ACBK1g00003,Chi-1-000004
ACBK1g00004,.
ACBK1g00005,.
ACBK1g00006,Chi-1-000003
ACBK1g00007,Chi-1-000002
ACBK1g00008,Chi-1-000001
ACBK1g00009,Chi-1-000006
ACBK1g00010,.
ACBK1g00011,Chi-1-000007
ACBK1g00012,.
ACBK1g00013,Chi-1-000008
ACBK1g00014,.
ACBK1g00015,.
ACBK1g00016,Chi-1-000009
ACBK1g00017,Chi-1-000010
ACBK1g00018,Chi-1-000011
ACBK1g00019,Chi-1-000012
ACBK1g00020,.
ACBK1g00021,.
ACBK1g00022,Chi-1-000014
ACBK1g00023,.
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,Chi-1-000016
ACBK1g00027,Chi-1-000017
ACBK1g00028,Chi-1-000018
ACBK1g00029,Chi-1-000020
ACBK1g00030,Chi-1-000021
ACBK1g00031,Chi-1-000023
ACBK1g00032,.
ACBK1g00033,Chi-1-000024
ACBK1g00034,Chi-1-000025
ACBK1g00035,.
ACBK1g00036,Chi-1-000026
ACBK1g00037,.
ACBK1g00038,.
ACBK1g00039,.
ACBK1g00040,Chi-1-000029
ACBK1g00041,Chi-1-000030
ACBK1g00042,Chi-1-000031
ACBK1g00043,.
ACBK1g00044,Chi-1-000032
ACBK1g00045,Chi-1-000033
ACBK1g00046,Chi-1-000034
ACBK1g00047,Chi-1-000035
ACBK1g00048,Chi-1-000037
ACBK1g00049,.
ACBK1g00050,Chi-1-000039
ACBK1g00051,Chi-1-000040
ACBK1g00052,.
ACBK1g00053,Chi-1-000041
ACBK1g00054,Chi-1-000042
ACBK1g00055,Chi-1-000043
ACBK1g00056,.
ACBK1g00057,Chi-1-000044
ACBK1g00058,Chi-1-000045
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Chi-1-000047
ACBK1g00064,Chi-1-000050
ACBK1g00065,Chi-1-000051
ACBK1g00066,Chi-1-000052
ACBK1g00067,Chi-1-000053
ACBK1g00068,.
ACBK1g00069,Chi-1-000054
ACBK1g00070,Chi-1-000055
ACBK1g00071,Chi-1-000056
ACBK1g00072,Chi-1-000057
ACBK1g00073,Chi-1-000058
ACBK1g00074,Chi-1-000059
ACBK1g00075,.
ACBK1g00076,Chi-1-000060
ACBK1g00077,Chi-1-000066
ACBK1g00078,.
ACBK1g00079,Chi-1-000068
ACBK1g00080,Chi-1-000069
ACBK1g00081,Chi-1-000070
ACBK1g00082,Chi-1-000074
ACBK1g00083,Chi-1-000075
ACBK1g00084,Chi-1-000076
ACBK1g00085,Chi-1-000077
ACBK1g00086,Chi-1-000079
ACBK1g00087,Chi-1-000080
ACBK1g00088,Chi-1-000081
ACBK1g00089,Chi-1-000083
ACBK1g00090,Chi-1-000085
ACBK1g00091,Chi-1-000086
ACBK1g00092,Chi-1-000087
ACBK1g00093,Chi-1-000088
ACBK1g00094,Chi-1-000089
ACBK1g00095,Chi-1-000090
ACBK1g00096,.
ACBK1g00097,Chi-1-000093
ACBK1g00098,Chi-1-000094
ACBK1g00099,.
ACBK1g00100,Chi-1-000095
ACBK1g00101,Chi-1-000096
ACBK1g00102,.
ACBK1g00103,Chi-1-000097
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Chi-1-000098
ACBK1g00107,Chi-1-000099
ACBK1g00108,Chi-1-000100
ACBK1g00109,Chi-1-000101
ACBK1g00110,Chi-1-000102
ACBK1g00111,Chi-1-000103
ACBK1g00112,Chi-1-000104
ACBK1g00113,Chi-1-000107
ACBK1g00114,Chi-1-000108
ACBK1g00115,Chi-1-000111
ACBK1g00116,Chi-1-000112
ACBK1g00117,Chi-1-000113
ACBK1g00118,Chi-1-000114
ACBK1g00119,Chi-1-000115
ACBK1g00120,Chi-1-000116
ACBK1g00121,.
ACBK1g00122,Chi-1-000117
ACBK1g00123,Chi-1-000119
ACBK1g00124,Chi-1-000120
ACBK1g00125,Chi-1-000121
ACBK1g00126,.
ACBK1g00127,.
ACBK1g00128,Chi-1-000122
ACBK1g00129,.
ACBK1g00130,Chi-1-000123
ACBK1g00131,Chi-1-000124
ACBK1g00132,Chi-1-000125
ACBK1g00133,Chi-1-000126
ACBK1g00134,Chi-1-000127
ACBK1g00135,.
ACBK1g00136,Chi-1-000129
ACBK1g00137,Chi-1-000130
ACBK1g00138,Chi-1-000131
ACBK1g00139,Chi-1-000132
ACBK1g00140,.
ACBK1g00141,Chi-1-000133
ACBK1g00142,.
ACBK1g00143,Chi-1-000135
ACBK1g00144,Chi-1-000136
ACBK1g00145,.
ACBK1g00146,.
ACBK1g00147,Chi-1-000138
ACBK1g00148,Chi-1-000139
ACBK1g00149,Chi-1-000140
ACBK1g00150,Chi-1-000141
ACBK1g00151,Chi-1-000142
ACBK1g00152,Chi-1-000145
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,Chi-1-000146
ACBK1g00156,Chi-1-000147
ACBK1g00157,Chi-1-000148
ACBK1g00158,Chi-1-000149
ACBK1g00159,Chi-1-000150
