ACBK1g00001,Aru-a01-003183,Aru-b01-000006
ACBK1g00002,.,Aru-b01-000005
ACBK1g00003,Aru-a01-003184,.
ACBK1g00004,.,.
ACBK1g00005,Aru-a01-003186,Aru-b01-000003
ACBK1g00006,Aru-a01-003187,.
ACBK1g00007,.,Aru-b01-000002
ACBK1g00008,Aru-a01-003188,Aru-b01-000001
ACBK1g00009,Aru-a01-003183,Aru-b01-000008
ACBK1g00010,Aru-a01-003182,Aru-b01-000009
ACBK1g00011,Aru-a01-003181,Aru-b01-000010
ACBK1g00012,Aru-a01-003180,Aru-b01-000011
ACBK1g00013,Aru-a01-003179,Aru-b01-000012
ACBK1g00014,Aru-a01-003178,.
ACBK1g00015,Aru-a01-003176,Aru-b01-000014
ACBK1g00016,Aru-a01-003175,Aru-b01-000015
ACBK1g00017,Aru-a01-003174,Aru-b01-000016
ACBK1g00018,Aru-a01-003173,Aru-b01-000017
ACBK1g00019,Aru-a01-003172,Aru-b01-000018
ACBK1g00020,Aru-a01-003171,Aru-b01-000019
ACBK1g00021,Aru-a01-003170,Aru-b01-000021
ACBK1g00022,Aru-a01-003169,Aru-b01-000022
ACBK1g00023,Aru-a01-003168,Aru-b01-000024
ACBK1g00024,.,.
ACBK1g00025,.,.
ACBK1g00026,Aru-a01-003167,Aru-b01-000025
ACBK1g00027,Aru-a01-003166,Aru-b01-000026
ACBK1g00028,Aru-a01-003165,Aru-b01-000027
ACBK1g00029,Aru-a01-003164,Aru-b01-000029
ACBK1g00030,Aru-a01-003163,Aru-b01-000030
ACBK1g00031,.,Aru-b01-000032
ACBK1g00032,Aru-a01-003161,Aru-b01-000033
ACBK1g00033,Aru-a01-003160,.
ACBK1g00034,Aru-a01-003159,Aru-b01-000034
ACBK1g00035,.,.
ACBK1g00036,.,Aru-b01-000035
ACBK1g00037,.,.
ACBK1g00038,.,Aru-b01-000036
ACBK1g00039,.,.
ACBK1g00040,Aru-a01-003155,.
ACBK1g00041,Aru-a01-003154,Aru-b01-000037
ACBK1g00042,Aru-a01-003153,.
ACBK1g00043,.,.
ACBK1g00044,Aru-a01-003152,Aru-b01-000038
ACBK1g00045,Aru-a01-003151,Aru-b01-000039
ACBK1g00046,Aru-a01-003150,Aru-b01-000041
ACBK1g00047,Aru-a01-003148,Aru-b01-000042
ACBK1g00048,Aru-a01-003145,.
ACBK1g00049,Aru-a01-003144,.
ACBK1g00050,Aru-a01-003143,Aru-b01-000043
ACBK1g00051,Aru-a01-003142,Aru-b01-000044
ACBK1g00052,.,.
ACBK1g00053,Aru-a01-003141,Aru-b01-000045
ACBK1g00054,Aru-a01-003140,Aru-b01-000046
ACBK1g00055,.,Aru-b01-000047
ACBK1g00056,Aru-a01-003139,.
ACBK1g00057,.,.
ACBK1g00058,Aru-a01-003138,Aru-b01-000048
ACBK1g00059,.,.
ACBK1g00060,.,.
ACBK1g00061,.,.
ACBK1g00062,.,.
ACBK1g00063,.,Aru-b01-000049
ACBK1g00064,Aru-a01-003136,Aru-b01-000053
ACBK1g00065,Aru-a01-003135,Aru-b01-000054
ACBK1g00066,Aru-a01-003134,Aru-b01-000055
ACBK1g00067,Aru-a01-003133,Aru-b01-000056
ACBK1g00068,.,.
ACBK1g00069,.,.
ACBK1g00070,Aru-a01-003132,Aru-b01-000057
ACBK1g00071,Aru-a01-003131,Aru-b01-000058
ACBK1g00072,Aru-a01-003130,Aru-b01-000059
ACBK1g00073,Aru-a01-003129,Aru-b01-000060
ACBK1g00074,Aru-a01-003128,Aru-b01-000061
ACBK1g00075,.,.
ACBK1g00076,Aru-a01-003127,Aru-b01-000063
ACBK1g00077,.,Aru-b01-000064
ACBK1g00078,.,Aru-b01-000065
ACBK1g00079,Aru-a01-003123,Aru-b01-000066
ACBK1g00080,Aru-a01-003122,Aru-b01-000067
ACBK1g00081,Aru-a01-003121,.
ACBK1g00082,.,Aru-b01-000068
ACBK1g00083,Aru-a01-003119,.
ACBK1g00084,Aru-a01-003117,Aru-b01-000070
ACBK1g00085,Aru-a01-003116,Aru-b01-000071
ACBK1g00086,.,Aru-b01-000072
ACBK1g00087,Aru-a01-003114,Aru-b01-000073
ACBK1g00088,.,Aru-b01-000074
ACBK1g00089,.,.
ACBK1g00090,.,.
ACBK1g00091,.,Aru-b01-000075
ACBK1g00092,Aru-a01-003113,Aru-b01-000076
ACBK1g00093,.,Aru-b01-000077
ACBK1g00094,.,Aru-b01-000078
ACBK1g00095,Aru-a01-003112,Aru-b01-000079
ACBK1g00096,.,Aru-b01-000080
ACBK1g00097,Aru-a01-003110,Aru-b01-000083
ACBK1g00098,Aru-a01-003109,Aru-b01-000084
ACBK1g00099,.,.
ACBK1g00100,.,.
ACBK1g00101,.,.
ACBK1g00102,Aru-a01-003108,Aru-b01-000085
ACBK1g00103,Aru-a01-003107,Aru-b01-000086
ACBK1g00104,.,.
ACBK1g00105,.,.
ACBK1g00106,.,Aru-b01-000087
ACBK1g00107,.,Aru-b01-000088
ACBK1g00108,.,.
ACBK1g00109,.,.
ACBK1g00110,Aru-a01-003106,Aru-b01-000089
ACBK1g00111,Aru-a01-003105,Aru-b01-000090
ACBK1g00112,Aru-a01-003104,Aru-b01-000092
ACBK1g00113,Aru-a01-003102,Aru-b01-000094
ACBK1g00114,Aru-a01-003101,Aru-b01-000095
ACBK1g00115,Aru-a01-003100,Aru-b01-000097
ACBK1g00116,.,Aru-b01-000099
ACBK1g00117,Aru-a01-003099,Aru-b01-000100
ACBK1g00118,Aru-a01-003098,Aru-b01-000101
ACBK1g00119,Aru-a01-003097,Aru-b01-000102
ACBK1g00120,Aru-a01-003096,Aru-b01-000103
ACBK1g00121,.,.
ACBK1g00122,Aru-a01-003094,.
ACBK1g00123,Aru-a01-003092,Aru-b01-000104
ACBK1g00124,Aru-a01-003091,Aru-b01-000105
ACBK1g00125,Aru-a01-003090,.
ACBK1g00126,.,.
ACBK1g00127,Aru-a01-003089,Aru-b01-000106
ACBK1g00128,Aru-a01-003088,Aru-b01-000107
ACBK1g00129,.,.
ACBK1g00130,Aru-a01-003087,Aru-b01-000108
ACBK1g00131,Aru-a01-003086,Aru-b01-000109
ACBK1g00132,.,Aru-b01-000110
ACBK1g00133,Aru-a01-003084,.
ACBK1g00134,Aru-a01-003083,Aru-b01-000114
