ACBK1g00001,,,
ACBK1g00002,,,Csa-3-000007
ACBK1g00003,,,Csa-3-000006
ACBK1g00004,,,Csa-3-000005
ACBK1g00005,,,Csa-3-000004
ACBK1g00006,,,Csa-3-000003
ACBK1g00007,,,Csa-3-000002
ACBK1g00008,,,Csa-3-000001
ACBK1g00009,,,Csa-3-000008
ACBK1g00010,,,Csa-3-000009
ACBK1g00011,,,Csa-3-000010
ACBK1g00012,Csa-17-000154,,Csa-3-000011
ACBK1g00013,Csa-17-000153,,Csa-3-000013
ACBK1g00014,Csa-17-000152,,.
ACBK1g00015,Csa-17-000151,,Csa-3-000014
ACBK1g00016,Csa-17-000149,,Csa-3-000015
ACBK1g00017,Csa-17-000148,,Csa-3-000016
ACBK1g00018,.,,.
ACBK1g00019,Csa-17-000147,Csa-14-000003,Csa-3-000017
ACBK1g00020,.,.,.
ACBK1g00021,Csa-17-000146,Csa-14-000004,.
ACBK1g00022,Csa-17-000145,Csa-14-000006,Csa-3-000018
ACBK1g00023,Csa-17-000144,Csa-14-000008,Csa-3-000019
ACBK1g00024,.,.,.
ACBK1g00025,.,.,.
ACBK1g00026,Csa-17-000142,.,Csa-3-000020
ACBK1g00027,Csa-17-000141,.,Csa-3-000022
ACBK1g00028,Csa-17-000140,Csa-14-000009,Csa-3-000023
ACBK1g00029,Csa-17-000136,Csa-14-000011,Csa-3-000025
ACBK1g00030,Csa-17-000135,Csa-14-000012,Csa-3-000026
ACBK1g00031,Csa-17-000132,Csa-14-000014,Csa-3-000029
ACBK1g00032,Csa-17-000131,Csa-14-000015,Csa-3-000030
ACBK1g00033,Csa-17-000130,Csa-14-000016,Csa-3-000031
ACBK1g00034,Csa-17-000129,Csa-14-000017,Csa-3-000032
ACBK1g00035,Csa-17-000128,Csa-14-000018,Csa-3-000033
ACBK1g00036,Csa-17-000127,Csa-14-000019,Csa-3-000034
ACBK1g00037,.,.,.
ACBK1g00038,Csa-17-000126,Csa-14-000020,Csa-3-000036
ACBK1g00039,Csa-17-000125,.,Csa-3-000037
ACBK1g00040,Csa-17-000123,Csa-14-000022,Csa-3-000039
ACBK1g00041,Csa-17-000122,Csa-14-000023,Csa-3-000040
ACBK1g00042,Csa-17-000121,Csa-14-000024,Csa-3-000041
ACBK1g00043,Csa-17-000120,Csa-14-000026,Csa-3-000042
ACBK1g00044,Csa-17-000119,Csa-14-000027,Csa-3-000043
ACBK1g00045,Csa-17-000118,Csa-14-000028,Csa-3-000044
ACBK1g00046,Csa-17-000115,.,Csa-3-000046
ACBK1g00047,Csa-17-000114,Csa-14-000029,Csa-3-000047
ACBK1g00048,.,Csa-14-000030,Csa-3-000049
ACBK1g00049,Csa-17-000112,Csa-14-000031,Csa-3-000050
ACBK1g00050,Csa-17-000111,Csa-14-000033,Csa-3-000051
ACBK1g00051,Csa-17-000110,Csa-14-000034,Csa-3-000052
ACBK1g00052,Csa-17-000108,Csa-14-000036,Csa-3-000053
ACBK1g00053,Csa-17-000107,Csa-14-000037,Csa-3-000054
ACBK1g00054,Csa-17-000106,Csa-14-000039,Csa-3-000055
ACBK1g00055,Csa-17-000105,.,.
ACBK1g00056,Csa-17-000104,Csa-14-000041,Csa-3-000056
ACBK1g00057,Csa-17-000103,Csa-14-000042,Csa-3-000057
ACBK1g00058,Csa-17-000102,Csa-14-000044,Csa-3-000058
ACBK1g00059,.,.,.
ACBK1g00060,.,.,.
ACBK1g00061,.,.,.
ACBK1g00062,.,.,.
ACBK1g00063,Csa-17-000101,Csa-14-000045,Csa-3-000059
ACBK1g00064,Csa-17-000098,Csa-14-000048,Csa-3-000062
