ACBK1g00001,
ACBK1g00002,Cla-2-02600
ACBK1g00003,.
ACBK1g00004,.
ACBK1g00005,.
ACBK1g00006,.
ACBK1g00007,.
ACBK1g00008,.
ACBK1g00009,Cla-2-02598
ACBK1g00010,Cla-2-02597
ACBK1g00011,Cla-2-02596
ACBK1g00012,Cla-2-02595
ACBK1g00013,Cla-2-02594
ACBK1g00014,Cla-2-02593
ACBK1g00015,Cla-2-02592
ACBK1g00016,Cla-2-02591
ACBK1g00017,Cla-2-02590
ACBK1g00018,.
ACBK1g00019,Cla-2-02589
ACBK1g00020,Cla-2-02588
ACBK1g00021,Cla-2-02587
ACBK1g00022,Cla-2-02586
ACBK1g00023,Cla-2-02585
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,Cla-2-02584
ACBK1g00027,Cla-2-02583
ACBK1g00028,Cla-2-02582
ACBK1g00029,Cla-2-02580
ACBK1g00030,Cla-2-02579
ACBK1g00031,Cla-2-02577
ACBK1g00032,Cla-2-02576
ACBK1g00033,Cla-2-02575
ACBK1g00034,Cla-2-02574
ACBK1g00035,.
ACBK1g00036,Cla-2-02573
ACBK1g00037,.
ACBK1g00038,Cla-2-02572
ACBK1g00039,.
ACBK1g00040,Cla-2-02570
ACBK1g00041,Cla-2-02569
ACBK1g00042,Cla-2-02568
ACBK1g00043,Cla-2-02567
ACBK1g00044,Cla-2-02566
ACBK1g00045,.
ACBK1g00046,Cla-2-02564
ACBK1g00047,Cla-2-02563
ACBK1g00048,Cla-2-02561
ACBK1g00049,Cla-2-02560
ACBK1g00050,Cla-2-02559
ACBK1g00051,Cla-2-02558
ACBK1g00052,Cla-2-02557
ACBK1g00053,Cla-2-02556
ACBK1g00054,Cla-2-02555
ACBK1g00055,.
ACBK1g00056,Cla-2-02554
ACBK1g00057,Cla-2-02553
ACBK1g00058,Cla-2-02552
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Cla-2-02550
ACBK1g00064,Cla-2-02547
ACBK1g00065,Cla-2-02546
ACBK1g00066,Cla-2-02545
ACBK1g00067,Cla-2-02544
ACBK1g00068,Cla-2-02543
ACBK1g00069,Cla-2-02542
ACBK1g00070,Cla-2-02541
ACBK1g00071,Cla-2-02540
ACBK1g00072,Cla-2-02539
ACBK1g00073,Cla-2-02538
ACBK1g00074,Cla-2-02537
ACBK1g00075,.
ACBK1g00076,Cla-2-02536
ACBK1g00077,Cla-2-02535
ACBK1g00078,Cla-2-02534
ACBK1g00079,Cla-2-02533
ACBK1g00080,Cla-2-02532
ACBK1g00081,.
ACBK1g00082,.
ACBK1g00083,Cla-2-02531
ACBK1g00084,Cla-2-02530
ACBK1g00085,Cla-2-02529
ACBK1g00086,Cla-2-02528
ACBK1g00087,Cla-2-02527
ACBK1g00088,.
ACBK1g00089,Cla-2-02526
ACBK1g00090,Cla-2-02525
ACBK1g00091,.
ACBK1g00092,Cla-2-02524
ACBK1g00093,Cla-2-02523
ACBK1g00094,Cla-2-02522
ACBK1g00095,Cla-2-02521
ACBK1g00096,Cla-2-02520
ACBK1g00097,Cla-2-02517
ACBK1g00098,Cla-2-02516
ACBK1g00099,.
ACBK1g00100,Cla-2-02515
ACBK1g00101,.
ACBK1g00102,Cla-2-02514
