ACBK1g00001,Coc-1-003964,Coc-8-004025,Coc-19-000024,
ACBK1g00002,Coc-1-003965,Coc-8-004026,Coc-19-000023,Coc-2-000072
ACBK1g00003,.,.,.,.
ACBK1g00004,.,.,.,.
ACBK1g00005,Coc-1-003966,Coc-8-004031,Coc-19-000022,.
ACBK1g00006,Coc-1-003967,Coc-8-004029,Coc-19-000021,Coc-2-000080
ACBK1g00007,Coc-1-003968,Coc-8-004028,Coc-19-000020,.
ACBK1g00008,Coc-1-003969,Coc-8-004027,Coc-19-000019,Coc-2-000068
ACBK1g00009,Coc-1-003963,Coc-8-004034,Coc-19-000024,Coc-2-000075
ACBK1g00010,Coc-1-003962,Coc-8-004035,Coc-19-000025,Coc-2-000076
ACBK1g00011,Coc-1-003961,Coc-8-004036,Coc-19-000026,Coc-2-000077
ACBK1g00012,Coc-1-003960,Coc-8-004037,Coc-19-000027,Coc-2-000078
ACBK1g00013,Coc-1-003959,Coc-8-004038,Coc-19-000028,Coc-2-000079
ACBK1g00014,.,.,.,.
ACBK1g00015,Coc-1-003958,Coc-8-004017,Coc-19-000029,Coc-2-000090
ACBK1g00016,.,Coc-8-004014,Coc-19-000030,Coc-2-000092
ACBK1g00017,Coc-1-003957,Coc-8-004013,Coc-19-000031,Coc-2-000093
ACBK1g00018,.,.,Coc-19-000032,Coc-2-000094
ACBK1g00019,Coc-1-003956,Coc-8-004012,Coc-19-000033,Coc-2-000095
ACBK1g00020,Coc-1-003955,Coc-8-004011,Coc-19-000034,Coc-2-000097
ACBK1g00021,Coc-1-003954,.,Coc-19-000036,Coc-2-000098
ACBK1g00022,Coc-1-003951,Coc-8-004007,Coc-19-000038,Coc-2-000101
ACBK1g00023,.,.,Coc-19-000040,Coc-2-000111
ACBK1g00024,.,.,.,.
ACBK1g00025,.,.,.,.
ACBK1g00026,.,Coc-8-004005,.,Coc-2-000112
ACBK1g00027,.,.,.,Coc-2-000113
ACBK1g00028,Coc-1-003950,Coc-8-004004,Coc-19-000041,Coc-2-000114
ACBK1g00029,Coc-1-003947,Coc-8-004001,Coc-19-000043,Coc-2-000116
ACBK1g00030,Coc-1-003946,Coc-8-004000,Coc-19-000044,Coc-2-000117
ACBK1g00031,Coc-1-003944,Coc-8-003998,Coc-19-000046,Coc-2-000119
ACBK1g00032,Coc-1-003943,.,Coc-19-000047,Coc-2-000120
